,display_id,ad_id,clicked,uuid,document_id_x,timestamp,platform,geo_location,source_id,publisher_id,publish_time,document_id_y,campaign_id,advertiser_id
22,932,163664,0,35ca0c07effbf9,1768597,65600,1,US>CA>803,93.0,407.0,2016-06-13 13:00:00,1218459,17315,1650
23,1936,163664,0,61b559d1bbad56,1306462,135731,1,US>AZ>753,7736.0,450.0,2016-04-15 13:00:00,1218459,17315,1650
24,98,190063,0,938e21a1f2da78,1794259,7191,1,US>CA>807,93.0,407.0,2016-06-14 00:00:00,1172584,15214,1650
25,627,92759,1,4bfe52ebc1044f,1794259,45943,2,US>NY>532,93.0,407.0,2016-06-14 00:00:00,1128271,12010,2722
26,62,92759,1,65861840b3ab9f,1781623,4651,2,US>AZ>789,3213.0,265.0,2016-06-13 18:00:00,1128271,12010,2722
27,159,92759,0,bcd798ee3ddedb,1532211,12066,2,US>IL>602,10030.0,1089.0,2016-04-14 00:00:00,1128271,12010,2722
28,236,92759,0,d7aa2b572f9f93,1542792,16840,2,US>GA>524,10030.0,1089.0,2016-05-23 00:00:00,1128271,12010,2722
29,272,92759,0,86834bbd086e9d,1446297,20138,2,US>NC>560,10030.0,1089.0,2016-04-12 00:00:00,1128271,12010,2722
30,462,92759,1,4389432287d9f9,1446231,34391,2,US>NC>517,10030.0,1089.0,2016-04-18 00:00:00,1128271,12010,2722
31,505,92759,0,f60cbbdb7fe094,1785726,37009,2,US>NV,13475.0,440.0,2016-06-13 20:00:00,1128271,12010,2722
32,1667,92759,0,11e7ab88b81daf,332268,116218,2,US>TX>623,5792.0,704.0,2014-04-27 14:00:00,1128271,12010,2722
33,801,92759,0,a4fe2be3c8aa71,1031667,57287,2,US>NC>518,6719.0,407.0,2016-01-04 00:00:00,1128271,12010,2722
34,877,92759,1,38371848342647,1581464,62583,2,US>TX>618,5792.0,704.0,2016-06-07 00:00:00,1128271,12010,2722
35,997,92759,1,fe73f308693820,1450109,70517,2,US>SC>517,10030.0,1089.0,2016-04-14 00:00:00,1128271,12010,2722
36,1006,92759,0,50af089aa34a0e,396635,70930,2,US>CO>751,5792.0,704.0,2014-10-08 00:00:00,1128271,12010,2722
37,1303,92759,1,b09f2e53734e79,1652785,90928,2,US>TX>618,12705.0,1044.0,2016-06-07 18:00:00,1128271,12010,2722
38,1357,92759,0,9664109e8157de,1361686,94755,2,US>CA>807,10030.0,1089.0,2016-04-28 13:00:00,1128271,12010,2722
39,1480,92759,0,5d04e19797320d,1653340,102619,2,US>CA>807,1032.0,1025.0,2016-06-07 07:00:00,1128271,12010,2722
40,1943,92759,0,8806a52a07c381,1786388,136226,2,US>MD>512,7267.0,58.0,2016-06-13 00:00:00,1128271,12010,2722
41,1502,92759,0,11e440cd503612,1279911,104186,2,US>TN>659,9499.0,1169.0,2016-04-08 05:00:00,1128271,12010,2722
42,1509,92759,1,2324ba957ddbb4,1446298,104788,2,US>IA>679,10030.0,1089.0,2016-04-14 00:00:00,1128271,12010,2722
43,1956,92759,0,bd698b9bf9bdc6,466260,137457,2,US>CO>751,13858.0,704.0,2015-01-01 00:00:00,1128271,12010,2722
44,627,139947,0,4bfe52ebc1044f,1794259,45943,2,US>NY>532,93.0,407.0,2016-06-14 00:00:00,1320137,17929,1782
45,627,158346,0,4bfe52ebc1044f,1794259,45943,2,US>NY>532,93.0,407.0,2016-06-14 00:00:00,984694,20051,2151
46,627,159664,0,4bfe52ebc1044f,1794259,45943,2,US>NY>532,93.0,407.0,2016-06-14 00:00:00,1396221,20152,3243
47,356,159664,1,aba7d2a882e1e3,1507976,25515,2,US>MI,1032.0,1025.0,2016-05-24 05:00:00,1396221,20152,3243
48,1380,159664,0,b33d1e5253646f,1791380,96071,2,US>TX>623,1032.0,1025.0,2016-06-13 10:00:00,1396221,20152,3243
49,914,159664,1,f360fdf87d7000,1774597,64799,2,US>PA>504,1032.0,1025.0,2016-06-13 04:00:00,1396221,20152,3243
50,1356,159664,0,64429a68a28d48,1713848,94584,2,US>AL>630,1032.0,1025.0,2016-06-10 04:00:00,1396221,20152,3243
51,1480,159664,1,5d04e19797320d,1653340,102619,2,US>CA>807,1032.0,1025.0,2016-06-07 07:00:00,1396221,20152,3243
52,627,182130,0,4bfe52ebc1044f,1794259,45943,2,US>NY>532,93.0,407.0,2016-06-14 00:00:00,1433781,21841,3463
53,1055,182130,0,9a6a1920154caf,573399,73959,2,US,3986.0,252.0,2015-03-25 16:00:00,1433781,21841,3463
54,1028,182130,0,4cfe2ef7a04b46,974796,71988,2,US,7108.0,820.0,2011-08-30 00:00:00,1433781,21841,3463
55,1346,182130,1,97ee144912310c,1765630,93898,2,US>CA>807,12013.0,907.0,2016-06-13 12:00:00,1433781,21841,3463
56,1381,182130,0,d29080aa7669bf,1139286,96092,2,US>OR>820,3826.0,252.0,2016-03-07 17:00:00,1433781,21841,3463
57,1824,182130,1,ad19f7c5a54c85,1791642,127824,2,US>TX>623,5315.0,1046.0,2016-06-14 00:00:00,1433781,21841,3463
58,799,37413,0,a3f4a99bcca084,1794259,57084,2,US>CA>803,93.0,407.0,2016-06-14 00:00:00,789145,5373,580
59,799,95725,0,a3f4a99bcca084,1794259,57084,2,US>CA>803,93.0,407.0,2016-06-14 00:00:00,1136820,12404,2151
60,396,95725,0,90bced8ff7146b,1427567,29726,2,US>FL,1032.0,1025.0,2016-05-12 09:00:00,1136820,12404,2151
61,654,95725,0,74a888499f256f,1666531,47493,2,US,11231.0,440.0,2016-06-08 13:00:00,1136820,12404,2151
62,725,95725,0,a2ec50534b53d2,1514581,51809,2,US>MD>511,4937.0,180.0,2016-05-25 12:00:00,1136820,12404,2151
63,1032,95725,0,12cce94848fa84,1708842,72493,2,US>AR>693,4691.0,180.0,2016-06-10 12:00:00,1136820,12404,2151
64,1263,95725,1,7ee14adb88ee63,898101,87883,2,US>CO>752,4937.0,180.0,2015-10-12 12:00:00,1136820,12404,2151
65,1356,95725,0,64429a68a28d48,1713848,94584,2,US>AL>630,1032.0,1025.0,2016-06-10 04:00:00,1136820,12404,2151
66,1931,95725,0,7b9fb2299987b6,1749608,135344,2,US>AL>686,4935.0,180.0,2016-06-13 00:00:00,1136820,12404,2151
67,1940,95725,0,b3940b3c38bb0e,1792417,136096,2,US>AR>693,5725.0,435.0,2016-06-13 23:00:00,1136820,12404,2151
68,799,141374,1,a3f4a99bcca084,1794259,57084,2,US>CA>803,93.0,407.0,2016-06-14 00:00:00,1324735,18099,1222
69,801,141374,0,a4fe2be3c8aa71,1031667,57287,2,US>NC>518,6719.0,407.0,2016-01-04 00:00:00,1324735,18099,1222
70,799,201649,0,a3f4a99bcca084,1794259,57084,2,US>CA>803,93.0,407.0,2016-06-14 00:00:00,1172584,15215,1650
71,73,201649,0,2c2586fe531c8d,1769250,5674,2,US>NJ>501,3.0,740.0,2016-07-13 00:00:00,1172584,15215,1650
72,232,201649,0,528001bd1ad751,1749638,16642,2,US>NY>514,844.0,221.0,2016-06-13 00:00:00,1172584,15215,1650
73,381,201649,0,7a6c98a0d96956,1782508,28318,2,US>TX>612,844.0,221.0,2016-06-13 18:00:00,1172584,15215,1650
74,1035,201649,0,6889bdf2b7348e,1795081,72697,2,US>OH>510,680.0,579.0,2016-06-14 00:00:00,1172584,15215,1650
75,1262,201649,0,efc507edfb6758,1769260,87866,2,US>OH>510,680.0,579.0,2016-06-13 14:00:00,1172584,15215,1650
76,1577,201649,0,1aa6375423eab5,1791642,109138,2,US>VA>544,5315.0,1046.0,2016-06-14 00:00:00,1172584,15215,1650
77,799,235447,0,a3f4a99bcca084,1794259,57084,2,US>CA>803,93.0,407.0,2016-06-14 00:00:00,1377696,11654,555
78,1927,235447,0,170b5873c53b05,1787381,135222,2,US>CA>803,323.0,1175.0,2016-06-13 20:00:00,1377696,11654,555
79,794,235447,0,fa5beb3c9bdcaf,1756465,56620,2,US>CA>803,93.0,407.0,2016-06-13 08:00:00,1377696,11654,555
80,898,235447,0,c323ca3fc87616,1793586,64271,2,US>AZ>753,553.0,180.0,2016-06-14 00:00:00,1377696,11654,555
81,1027,235447,0,1cbbd87502868c,1052800,71934,2,US>MO>609,107.0,1044.0,2013-10-01 00:00:00,1377696,11654,555
82,1372,235447,0,9bb41f914ae84a,1764847,95678,2,US>MI>505,6872.0,41.0,2016-06-13 00:00:00,1377696,11654,555
83,1392,235447,0,97553e548a9267,707105,96649,2,US>PA>508,1874.0,158.0,2015-06-11 08:00:00,1377696,11654,555
84,1442,235447,0,fbe0dd0f35fb85,1740525,99896,2,US>FL>528,11311.0,1148.0,2016-06-12 13:00:00,1377696,11654,555
85,5,54606,0,8d0daef4bf5b56,252458,338,2,SG>00,93.0,407.0,2014-01-23 23:00:00,950652,4599,1534
86,287,54606,0,711ae740a598fb,1003150,21154,2,SG>00,873.0,26.0,2015-12-23 00:00:00,950652,4599,1534
87,5,162868,0,8d0daef4bf5b56,252458,338,2,SG>00,93.0,407.0,2014-01-23 23:00:00,1408334,8079,2030
88,1947,162868,0,9e1571a56471fe,437120,136548,1,SG>00,2170.0,167.0,2014-11-06 15:00:00,1408334,8079,2030
89,5,184548,0,8d0daef4bf5b56,252458,338,2,SG>00,93.0,407.0,2014-01-23 23:00:00,1461991,22199,2894
90,5,282674,0,8d0daef4bf5b56,252458,338,2,SG>00,93.0,407.0,2014-01-23 23:00:00,1677985,27693,440
91,1614,282674,0,3945a83e25cf77,1773842,112256,2,SG>00,482.0,65.0,2016-06-13 15:00:00,1677985,27693,440
92,1823,282674,0,86bae312f75f15,1751045,127806,2,SG>00,1575.0,78.0,2016-06-12 00:00:00,1677985,27693,440
93,1947,282674,0,9e1571a56471fe,437120,136548,1,SG>00,2170.0,167.0,2014-11-06 15:00:00,1677985,27693,440
94,5,326514,1,8d0daef4bf5b56,252458,338,2,SG>00,93.0,407.0,2014-01-23 23:00:00,1659371,29102,438
95,1614,326514,0,3945a83e25cf77,1773842,112256,2,SG>00,482.0,65.0,2016-06-13 15:00:00,1659371,29102,438
96,1823,326514,0,86bae312f75f15,1751045,127806,2,SG>00,1575.0,78.0,2016-06-12 00:00:00,1659371,29102,438
97,6,85397,0,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,1101631,11072,1438
98,723,85397,0,a5895e8b2bd5ea,1060089,51492,1,US>MS>746,7744.0,1204.0,2016-01-23 01:00:00,1101631,11072,1438
99,308,85397,1,e1e95ae76e5be9,813249,22457,3,US>CO>751,1209.0,875.0,2015-05-13 00:00:00,1101631,11072,1438
100,190,85397,0,8a41dc0149ae38,1786673,13799,3,US>FL>528,6044.0,714.0,2016-06-13 20:00:00,1101631,11072,1438
101,328,85397,0,af276656461382,1029759,23597,3,US>NC>560,5315.0,1046.0,2016-01-06 13:00:00,1101631,11072,1438
102,464,85397,0,c6c16afa8b5332,1573953,34521,3,US>FL>686,7736.0,450.0,2015-12-18 00:00:00,1101631,11072,1438
103,585,85397,0,7498574bcc68a3,1613992,43515,1,US>TX>612,10030.0,1089.0,2016-03-14 00:00:00,1101631,11072,1438
104,670,85397,0,210546fd8f6cb7,1784816,48520,1,US>MO>609,4631.0,3.0,2016-06-13 19:00:00,1101631,11072,1438
105,897,85397,0,4630f76ef1e798,1746870,64271,3,US>ID>757,6049.0,714.0,2016-06-12 21:00:00,1101631,11072,1438
106,1056,85397,0,3e47914fd5f3d1,1755233,74167,3,US>LA,6053.0,714.0,2016-06-13 08:00:00,1101631,11072,1438
107,1132,85397,0,3e677ee5e099f0,1778753,79827,1,US>AZ>753,892.0,574.0,2016-06-13 17:00:00,1101631,11072,1438
108,1422,85397,0,7d9058f9fccbd7,351478,98456,3,US>NY>501,2172.0,167.0,2014-06-30 17:00:00,1101631,11072,1438
109,1460,85397,0,a7deaf962a0627,1726690,101286,3,US>NJ>504,680.0,579.0,2016-06-11 12:00:00,1101631,11072,1438
110,1887,85397,0,ecf6d84c13f738,1319927,132064,1,US>WA>881,4706.0,1202.0,2016-04-19 19:00:00,1101631,11072,1438
111,6,160754,0,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,1271578,20224,2352
112,991,160754,0,46da8e67cc2135,1759089,70087,1,US>CO>751,105.0,206.0,2016-06-13 10:00:00,1271578,20224,2352
113,888,160754,0,f7d5b9d8d51580,768245,63297,1,US>OR>820,475.0,937.0,2015-01-01 00:00:00,1271578,20224,2352
114,978,160754,0,5eb946769e5281,1774008,69421,1,US>TX>641,3.0,740.0,2016-06-13 15:00:00,1271578,20224,2352
115,1497,160754,0,6e2163a840bc8b,1726690,103867,3,US>TX>623,680.0,579.0,2016-06-11 12:00:00,1271578,20224,2352
116,6,173388,0,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,947798,21241,2169
117,309,173388,0,6ddac3ea833228,1767689,22500,3,US>CO>751,677.0,93.0,2016-06-13 13:00:00,947798,21241,2169
118,358,173388,0,19b0c934e7b4c0,551547,25600,3,US>CT>533,1653.0,833.0,2015-07-22 00:00:00,947798,21241,2169
119,408,173388,0,a195f6bb8b633f,1464334,30780,3,US>WA>819,7368.0,148.0,2016-05-19 00:00:00,947798,21241,2169
120,1029,173388,0,aa70b760c36087,1781127,72148,3,US>OH>542,7368.0,148.0,2016-06-13 00:00:00,947798,21241,2169
121,565,173388,0,f8f40c7b609a1f,797638,42555,3,US>CA>803,7270.0,58.0,2015-07-27 23:00:00,947798,21241,2169
122,778,173388,0,b7e5a0cff525bd,1752075,55802,3,US>PA>504,6673.0,781.0,2016-06-13 04:00:00,947798,21241,2169
123,1172,173388,1,2eb8d57a97a2c3,842448,82462,3,US>CA>825,8794.0,167.0,2014-02-18 00:00:00,947798,21241,2169
124,1086,173388,0,c27a322b2b5ddf,1783670,77058,3,US>CA>868,102.0,183.0,2016-06-13 19:00:00,947798,21241,2169
125,1256,173388,0,617faa029a2a9a,1777101,87421,3,US>VA>511,6672.0,781.0,2016-06-13 16:00:00,947798,21241,2169
126,1730,173388,0,5ce704e3818464,1784610,120386,3,US>TX>618,6051.0,714.0,2016-06-13 19:00:00,947798,21241,2169
127,1149,173388,0,f45b4508c84bb4,1768302,81239,3,US>CA>807,1574.0,78.0,2016-06-13 00:00:00,947798,21241,2169
128,1169,173388,0,ae1d99b96221e5,1744889,82379,3,US>NJ>501,1627.0,714.0,2016-06-12 18:00:00,947798,21241,2169
129,1193,173388,0,4aa77a415926b0,1434520,83817,3,US>CA>807,6737.0,236.0,2016-05-13 13:00:00,947798,21241,2169
130,1210,173388,0,c0d4bb2c43c5db,1786685,84957,3,US>CA>825,762.0,457.0,2016-06-13 20:00:00,947798,21241,2169
131,1298,173388,0,f2fba80a807dd7,193984,90429,3,US>OH>510,2957.0,252.0,2013-11-30 00:00:00,947798,21241,2169
132,1349,173388,0,69de31fdc2442c,62070,94022,3,US>MO>616,2567.0,216.0,2012-05-03 00:00:00,947798,21241,2169
133,1460,173388,0,a7deaf962a0627,1726690,101286,3,US>NJ>504,680.0,579.0,2016-06-11 12:00:00,947798,21241,2169
134,1722,173388,0,44e1cae7c9c607,1764383,120025,3,US>MN>613,1627.0,714.0,2016-06-13 12:00:00,947798,21241,2169
135,1846,173388,0,de739be84ef889,1607416,129512,3,US>WA>819,2188.0,184.0,2016-06-04 00:00:00,947798,21241,2169
136,1858,173388,0,f9274adaa26041,441786,130152,3,US>PA>504,105.0,206.0,2014-11-30 00:00:00,947798,21241,2169
137,6,175234,1,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,1442005,21359,2238
138,995,175234,0,4d6e2faf1d9e62,1717049,70500,1,US>TX>641,9606.0,1066.0,2016-06-10 18:00:00,1442005,21359,2238
139,225,175234,0,98ecf4f28a247c,1773809,16402,3,US>TX>618,5948.0,320.0,2016-06-13 15:00:00,1442005,21359,2238
140,1321,175234,0,88645632b99cfb,1065974,92500,3,US>AR>693,6399.0,574.0,2016-01-26 00:00:00,1442005,21359,2238
141,1360,175234,0,59993d6fd363c8,1689003,94853,1,US>FL>528,7367.0,874.0,2016-06-09 14:00:00,1442005,21359,2238
142,6,180923,0,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,1151028,674,769
143,651,180923,0,99e4939069e433,1773230,47280,3,US>TX>623,6675.0,781.0,2016-06-13 15:00:00,1151028,674,769
144,48,180923,0,a366a33daa5e11,1774758,3410,3,US>MO>632,956.0,118.0,2016-06-14 00:00:00,1151028,674,769
145,116,180923,0,16713f17d0274f,1154097,8698,3,US>TX>623,6925.0,796.0,2016-03-11 00:00:00,1151028,674,769
146,117,180923,0,1b325e2d108966,1746417,8749,3,US>TX>618,4939.0,180.0,2016-06-13 00:00:00,1151028,674,769
147,128,180923,0,b8138dc1652a8b,1743730,9481,3,US>NV>839,568.0,1000.0,2016-06-12 17:00:00,1151028,674,769
148,154,180923,0,df89a8a1180e48,10903,11789,1,US>CA>811,2170.0,167.0,2012-10-10 00:00:00,1151028,674,769
149,189,180923,0,6206d1f72c3b56,1794453,13799,1,US>AZ>753,6399.0,574.0,2016-06-14 00:00:00,1151028,674,769
150,196,180923,0,39f8996bfe2cfc,1788129,14204,3,US>WA>819,6872.0,41.0,2016-06-14 00:00:00,1151028,674,769
151,1185,180923,0,e88e22b363a1b8,1783262,83207,1,US>OR>820,3077.0,240.0,2016-06-13 07:00:00,1151028,674,769
152,246,180923,0,887052b5d2d3e2,1795002,18001,1,US>HI>744,96.0,183.0,2016-06-14 03:00:00,1151028,674,769
153,280,180923,0,f97c1f62eb09fa,1734076,20725,1,US>TX>600,1326.0,828.0,2016-06-12 00:00:00,1151028,674,769
154,461,180923,0,a18dd071af2e5e,1530329,34361,1,US>FL>534,9606.0,1066.0,2016-05-26 21:00:00,1151028,674,769
155,500,180923,0,95edd91a6f61bf,1771088,36700,1,US>CA>807,6450.0,206.0,2016-06-13 14:00:00,1151028,674,769
156,559,180923,0,922ea06b6d6b68,970311,41671,3,US>CA>807,6450.0,206.0,2015-12-01 13:00:00,1151028,674,769
157,581,180923,0,61629a2075210f,1037123,43320,1,US>WA>819,7404.0,882.0,2016-01-12 03:00:00,1151028,674,769
158,633,180923,0,bd31a75a4b10a1,725820,46115,1,US>VA>511,7730.0,930.0,2015-06-09 00:00:00,1151028,674,769
159,1321,180923,0,88645632b99cfb,1065974,92500,3,US>AR>693,6399.0,574.0,2016-01-26 00:00:00,1151028,674,769
160,691,180923,0,fb047a45b6db2e,1781817,49449,3,US>WA>881,12410.0,56.0,2016-06-13 16:00:00,1151028,674,769
161,807,180923,0,1bc8a6807741c7,1734787,57965,3,US>CA>803,1093.0,827.0,2016-06-11 00:00:00,1151028,674,769
162,829,180923,0,6f99a6a286f186,1742757,59166,3,US>AZ>789,4939.0,180.0,2016-06-12 16:00:00,1151028,674,769
163,876,180923,0,cfc33b517bb7a5,1788159,62548,3,US>OH>515,702.0,825.0,2016-06-13 21:00:00,1151028,674,769
164,912,180923,0,307506c8aec96d,1758963,64703,3,US>OH>547,482.0,65.0,2016-06-13 10:00:00,1151028,674,769
165,1132,180923,0,3e677ee5e099f0,1778753,79827,1,US>AZ>753,892.0,574.0,2016-06-13 17:00:00,1151028,674,769
166,1353,180923,0,f38ceea1c20199,127965,94425,1,US>OH>547,1.0,603.0,2012-09-05 13:00:00,1151028,674,769
167,1408,180923,0,aaedf21f058a69,1765569,97844,1,US>TN>659,5948.0,320.0,2016-06-13 12:00:00,1151028,674,769
168,1460,180923,0,a7deaf962a0627,1726690,101286,3,US>NJ>504,680.0,579.0,2016-06-11 12:00:00,1151028,674,769
169,1610,180923,0,fe6a3830ade85e,1783983,112029,3,US>TX>641,2090.0,173.0,2016-06-13 19:00:00,1151028,674,769
170,1669,180923,0,689b8e17c52dc3,1786585,116234,3,US>TX>618,373.0,828.0,2016-06-13 20:00:00,1151028,674,769
171,1778,180923,0,7c2bc9b8906d72,1716611,124192,1,US>OR,3083.0,240.0,2016-06-10 06:00:00,1151028,674,769
172,1835,180923,0,e2ec3642e93d98,1733117,128820,3,US>MN>613,653.0,829.0,2016-06-12 00:00:00,1151028,674,769
173,6,234445,0,7765b4faae4ad4,1773517,395,3,US>OH>510,918.0,894.0,2016-06-13 15:00:00,1586187,25475,210
174,126,234445,0,550d2ff5085127,1793391,9341,3,US>WA>819,465.0,160.0,2016-06-13 20:00:00,1586187,25475,210
175,128,234445,0,b8138dc1652a8b,1743730,9481,3,US>NV>839,568.0,1000.0,2016-06-12 17:00:00,1586187,25475,210
176,1132,234445,0,3e677ee5e099f0,1778753,79827,1,US>AZ>753,892.0,574.0,2016-06-13 17:00:00,1586187,25475,210
177,1471,234445,1,695ed2b8b3d1f8,1786039,101969,1,US>CA>800,6414.0,459.0,2016-06-13 20:00:00,1586187,25475,210
178,7,105766,1,2cc3f6457d16da,1149661,602,2,US>MT>762,3420.0,384.0,2014-07-24 00:00:00,1151028,2176,769
179,871,105766,0,226057ca4e3781,1743986,62165,2,US>TX>618,366.0,781.0,2016-06-15 00:00:00,1151028,2176,769
180,339,105766,0,61beb1b05fbedd,798827,24346,2,US>TX>618,6914.0,56.0,2015-07-28 16:00:00,1151028,2176,769
181,999,105766,0,ecf5e3e3c11b5b,1761432,70606,2,US>TX,2604.0,200.0,2016-06-13 11:00:00,1151028,2176,769
182,1372,105766,0,9bb41f914ae84a,1764847,95678,2,US>MI>505,6872.0,41.0,2016-06-13 00:00:00,1151028,2176,769
183,1559,105766,0,d0e9376716ea87,1747047,107759,2,US>CA>807,5717.0,433.0,2016-06-13 00:00:00,1151028,2176,769
184,1743,105766,0,70e5221764a830,1777537,121119,2,US>CA>862,93.0,407.0,2016-06-13 17:00:00,1151028,2176,769
185,1942,105766,0,c5cb9b4b5b019c,1150002,136224,2,US>CA>855,10986.0,1150.0,2015-10-17 00:00:00,1151028,2176,769
186,7,215967,0,2cc3f6457d16da,1149661,602,2,US>MT>762,3420.0,384.0,2014-07-24 00:00:00,1445187,21495,1863
187,417,215967,0,a9b6ad2f4ca463,1686646,31407,2,US>CO>751,6698.0,784.0,2016-06-09 12:00:00,1445187,21495,1863
188,7,300808,0,2cc3f6457d16da,1149661,602,2,US>MT>762,3420.0,384.0,2014-07-24 00:00:00,1701364,28257,1510
189,8,95724,0,166fc654d73c98,1330329,638,2,US>PA>566,7736.0,450.0,2015-03-25 11:00:00,1136820,12404,2151
190,1065,95724,0,9b157394646cbc,1330329,75096,2,US>NE>722,7736.0,450.0,2015-03-25 11:00:00,1136820,12404,2151
191,1757,95724,0,8ffdaa6fa154cf,1330329,122474,2,US>MT>754,7736.0,450.0,2015-03-25 11:00:00,1136820,12404,2151
192,282,95724,0,cd088a533b8052,1759856,20860,2,US>VA>511,7061.0,787.0,2016-06-13 10:00:00,1136820,12404,2151
193,638,95724,0,33c43709d45a55,1642766,46285,2,US>CA>803,5957.0,320.0,2016-06-07 12:00:00,1136820,12404,2151
194,8,175694,0,166fc654d73c98,1330329,638,2,US>PA>566,7736.0,450.0,2015-03-25 11:00:00,1392479,21015,402
195,608,175694,0,980cf9fbdae13e,1330329,45038,2,US>FL>539,7736.0,450.0,2015-03-25 11:00:00,1392479,21015,402
196,1065,175694,1,9b157394646cbc,1330329,75096,2,US>NE>722,7736.0,450.0,2015-03-25 11:00:00,1392479,21015,402
197,1757,175694,0,8ffdaa6fa154cf,1330329,122474,2,US>MT>754,7736.0,450.0,2015-03-25 11:00:00,1392479,21015,402
198,1272,175694,0,3c96e98b22dc8a,970822,88584,2,US>WA>820,6236.0,740.0,2016-07-22 00:00:00,1392479,21015,402
199,8,280430,1,166fc654d73c98,1330329,638,2,US>PA>566,7736.0,450.0,2015-03-25 11:00:00,1601512,25884,2007
200,608,280430,0,980cf9fbdae13e,1330329,45038,2,US>FL>539,7736.0,450.0,2015-03-25 11:00:00,1601512,25884,2007
201,1065,280430,0,9b157394646cbc,1330329,75096,2,US>NE>722,7736.0,450.0,2015-03-25 11:00:00,1601512,25884,2007
202,1757,280430,1,8ffdaa6fa154cf,1330329,122474,2,US>MT>754,7736.0,450.0,2015-03-25 11:00:00,1601512,25884,2007
203,1817,280430,1,a0dfe805e5d8af,1330329,127164,2,US>AL>522,7736.0,450.0,2015-03-25 11:00:00,1601512,25884,2007
204,469,280430,0,42398773f79241,1573953,34706,2,US>CA>807,7736.0,450.0,2015-12-18 00:00:00,1601512,25884,2007
205,1643,280430,1,db9cebfb5783b7,1319076,114286,2,US>CA>803,7736.0,450.0,2016-04-21 00:00:00,1601512,25884,2007
206,1874,280430,0,c8e7c26033bb02,1791630,131190,2,US>TX,6698.0,784.0,2016-06-13 22:00:00,1601512,25884,2007
